URL,Details,Fabric,Sheet
asmsrvprodaeperfpubsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Australia East (AE)
asmsrvprodaeperfsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Australia East (AE)
discoverysvcaepod01evhb.servicebus.windows.net,Eventhub for sending the Dependency Mapping data to Azure.,Common to all fabrics,Australia East (AE)
discoverysrvprodaedepsa1.blob.core.windows.net,Storage account for sending the Dependency Mapping data to Azure.,Common to all fabrics,Australia East (AE)
HyperVEHubNs1.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Australia East (AE)
HyperVEHubNs2.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Australia East (AE)
HyperVEHubNs3.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Australia East (AE)
VMwareEHubNs1.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Australia East (AE)
VMwareEHubNs2.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Australia East (AE)
VMwareEHubNs3.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Australia East (AE)
ServerEHubNs1.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Australia East (AE)
ServerEHubNs2.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Australia East (AE)
ServerEHubNs3.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Australia East (AE)
aadcdn.msftauth.net,This is required in the workflow for authentication to azure,Common to all fabrics,Australia SouthEast (AUSE)
login.windows.net,This is required in the workflow for authentication to azure,Common to all fabrics,Australia SouthEast (AUSE)
login.microsoftonline.com,This is required in the workflow for authentication to azure,Common to all fabrics,Australia SouthEast (AUSE)
www.office.com,This is an additional check to validate the connectivity for the appliance.,Common to all fabrics,Australia SouthEast (AUSE)
m365.cloud.microsoft,This is required in the workflow for authentication to azure (redirection),Common to all fabrics,Australia SouthEast (AUSE)
download.microsoft.com,This is required to download the latest versions of the various componentss of the Migrate appliance.,Common to all fabrics,Australia SouthEast (AUSE)
portal.azure.com,This is required for access to the Azure portal,Common to all fabrics,Australia SouthEast (AUSE)
management.azure.com,This is required for managing various ARM resources in Azure.,Common to all fabrics,Australia SouthEast (AUSE)
graph.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Australia SouthEast (AUSE)
developer.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Australia SouthEast (AUSE)
dc.services.visualstudio.com,Required for logging,Common to all fabrics,Australia SouthEast (AUSE)
rt.services.visualstudio.com,Required for logging,Common to all fabrics,Australia SouthEast (AUSE)
server.events.data.microsoft.com,Required for logging,Common to all fabrics,Australia SouthEast (AUSE)
eu-mobile.events.data.microsoft.com,Required for logging,Common to all fabrics,Australia SouthEast (AUSE)
hypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Australia SouthEast (AUSE)
hypervehubns2019-03-28-05-32-57-815.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Australia SouthEast (AUSE)
vmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Australia SouthEast (AUSE)
serverehubns1.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Australia SouthEast (AUSE)
aka.ms/latestapplianceservices/australiasoutheast,This URL redirects to the json mentioning the latest versions of appliance components for the region.,Common to all fabrics,Australia SouthEast (AUSE)
aka.ms/latestapplianceservices,This is the fallback URL that  redirects to the json mentioning the latest versions of appliance components for all regions.,Common to all fabrics,Australia SouthEast (AUSE)
discoverysrv.ause.prod.migration.windowsazure.com,Discovery service URL,Common to all fabrics,Australia SouthEast (AUSE)
asmsrv.ause.prod.migration.windowsazure.com,Assessment service URL,Common to all fabrics,Australia SouthEast (AUSE)
pod01-srs1.ase.hypervrecoverymanager.windowsazure.com,Migration Service URL,Common to all fabrics,Australia SouthEast (AUSE)
asmsrvprodauseperfpubsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Australia SouthEast (AUSE)
asmsrvprodauseperfsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Australia SouthEast (AUSE)
discoverysrvprodauseevhubns.servicebus.windows.net,Eventhub for sending the Dependency Mapping data to Azure.,Common to all fabrics,Australia SouthEast (AUSE)
discsrvprodausedepsa1.blob.core.windows.net,Storage account for sending the Dependency Mapping data to Azure.,Common to all fabrics,Australia SouthEast (AUSE)
HyperVEHubNs2019-05-17-13-59-56-294.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Australia SouthEast (AUSE)
HyperVEHubNs2019-05-17-14-01-36-961.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Australia SouthEast (AUSE)
HyperVEHubNs2019-05-17-14-03-16-300.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Australia SouthEast (AUSE)
VMwareEHubNs2019-05-17-14-04-55-498.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Australia SouthEast (AUSE)
VMwareEHubNs2019-05-17-14-06-33-615.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Australia SouthEast (AUSE)
VMwareEHubNs2019-05-17-14-08-06-864.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Australia SouthEast (AUSE)
ServerEHubNs2019-10-24-11-49-56-526.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Australia SouthEast (AUSE)
ServerEHubNs2019-10-24-11-51-38-599.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Australia SouthEast (AUSE)
ServerEHubNs2019-10-24-11-53-12-514.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Australia SouthEast (AUSE)
aadcdn.msftauth.net,This is required in the workflow for authentication to azure,Common to all fabrics,East Asia (EA)
login.windows.net,This is required in the workflow for authentication to azure,Common to all fabrics,East Asia (EA)
login.microsoftonline.com,This is required in the workflow for authentication to azure,Common to all fabrics,East Asia (EA)
www.office.com,This is an additional check to validate the connectivity for the appliance.,Common to all fabrics,East Asia (EA)
m365.cloud.microsoft,This is required in the workflow for authentication to azure (redirection),Common to all fabrics,East Asia (EA)
download.microsoft.com,This is required to download the latest versions of the various componentss of the Migrate appliance.,Common to all fabrics,East Asia (EA)
portal.azure.com,This is required for access to the Azure portal,Common to all fabrics,East Asia (EA)
management.azure.com,This is required for managing various ARM resources in Azure.,Common to all fabrics,East Asia (EA)
graph.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,East Asia (EA)
developer.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,East Asia (EA)
dc.services.visualstudio.com,Required for logging,Common to all fabrics,East Asia (EA)
rt.services.visualstudio.com,Required for logging,Common to all fabrics,East Asia (EA)
server.events.data.microsoft.com,Required for logging,Common to all fabrics,East Asia (EA)
eu-mobile.events.data.microsoft.com,Required for logging,Common to all fabrics,East Asia (EA)
hypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,East Asia (EA)
hypervehubns2019-03-28-05-32-57-815.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,East Asia (EA)
vmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,East Asia (EA)
serverehubns1.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,East Asia (EA)
aka.ms/latestapplianceservices/eastasia,This URL redirects to the json mentioning the latest versions of appliance components for the region.,Common to all fabrics,East Asia (EA)
aka.ms/latestapplianceservices,This is the fallback URL that  redirects to the json mentioning the latest versions of appliance components for all regions.,Common to all fabrics,East Asia (EA)
discoverysrv.ea.prod.migration.windowsazure.com,Discovery service URL,Common to all fabrics,East Asia (EA)
asmsrv.ea.prod.migration.windowsazure.com,Assessment service URL,Common to all fabrics,East Asia (EA)
pod01-srs1.ea.hypervrecoverymanager.windowsazure.com,Migration Service URL,Common to all fabrics,East Asia (EA)
asmsrvprodeaperfpubsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,East Asia (EA)
asmsrvprodeaperfsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,East Asia (EA)
discoverysrvprodeaevhubns.servicebus.windows.net,Eventhub for sending the Dependency Mapping data to Azure.,Common to all fabrics,East Asia (EA)
discsrvprodeadepsa1.blob.core.windows.net,Storage account for sending the Dependency Mapping data to Azure.,Common to all fabrics,East Asia (EA)
HyperVEHubNs2019-03-28-05-32-57-815.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,East Asia (EA)
HyperVEHubNs2019-03-28-05-33-58-933.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,East Asia (EA)
HyperVEHubNs2019-03-28-05-51-25-763.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,East Asia (EA)
VMwareEHubNs2019-03-28-05-53-02-800.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,East Asia (EA)
VMwareEHubNs2019-03-28-05-54-03-187.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,East Asia (EA)
VMwareEHubNs2019-03-28-05-55-07-378.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,East Asia (EA)
ServerEHubNs2019-10-24-12-43-26-768.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,East Asia (EA)
ServerEHubNs2019-10-24-12-45-02-943.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,East Asia (EA)
ServerEHubNs2019-10-24-12-46-40-180.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,East Asia (EA)
aadcdn.msftauth.net,This is required in the workflow for authentication to azure,Common to all fabrics,Brazil South (BRS)
login.windows.net,This is required in the workflow for authentication to azure,Common to all fabrics,Brazil South (BRS)
login.microsoftonline.com,This is required in the workflow for authentication to azure,Common to all fabrics,Brazil South (BRS)
www.office.com,This is an additional check to validate the connectivity for the appliance.,Common to all fabrics,Brazil South (BRS)
m365.cloud.microsoft,This is required in the workflow for authentication to azure (redirection),Common to all fabrics,Brazil South (BRS)
download.microsoft.com,This is required to download the latest versions of the various componentss of the Migrate appliance.,Common to all fabrics,Brazil South (BRS)
portal.azure.com,This is required for access to the Azure portal,Common to all fabrics,Brazil South (BRS)
management.azure.com,This is required for managing various ARM resources in Azure.,Common to all fabrics,Brazil South (BRS)
graph.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Brazil South (BRS)
developer.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Brazil South (BRS)
dc.services.visualstudio.com,Required for logging,Common to all fabrics,Brazil South (BRS)
rt.services.visualstudio.com,Required for logging,Common to all fabrics,Brazil South (BRS)
server.events.data.microsoft.com,Required for logging,Common to all fabrics,Brazil South (BRS)
eu-mobile.events.data.microsoft.com,Required for logging,Common to all fabrics,Brazil South (BRS)
hypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Brazil South (BRS)
hypervehubns2019-03-28-05-32-57-815.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Brazil South (BRS)
vmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Brazil South (BRS)
serverehubns1.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Brazil South (BRS)
aka.ms/latestapplianceservices/brazilsouth,This URL redirects to the json mentioning the latest versions of appliance components for the region.,Common to all fabrics,Brazil South (BRS)
aka.ms/latestapplianceservices,This is the fallback URL that  redirects to the json mentioning the latest versions of appliance components for all regions.,Common to all fabrics,Brazil South (BRS)
discoverysrv.brs.prod.migration.windowsazure.com,Discovery service URL,Common to all fabrics,Brazil South (BRS)
asmsrv.brs.prod.migration.windowsazure.com,Assessment service URL,Common to all fabrics,Brazil South (BRS)
pod01-srs1.brs.hypervrecoverymanager.windowsazure.com,Migration Service URL,Common to all fabrics,Brazil South (BRS)
asmsrvprodbrsperfpubsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Brazil South (BRS)
asmsrvprodbrsperfsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Brazil South (BRS)
sfdiscoverysrvprodbrsmwevhb.servicebus.windows.net,Eventhub for sending the Dependency Mapping data to Azure.,Common to all fabrics,Brazil South (BRS)
discsrvprodbrsdepsa1.blob.core.windows.net,Storage account for sending the Dependency Mapping data to Azure.,Common to all fabrics,Brazil South (BRS)
azhypervehubns2019-08-19-13-16-09-800.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Brazil South (BRS)
azhypervehubns2019-08-19-13-18-02-611.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Brazil South (BRS)
azhypervehubns2019-08-19-13-19-48-639.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Brazil South (BRS)
HyperVEHubNs2019-08-19-13-16-09-800.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Brazil South (BRS)
HyperVEHubNs2019-08-19-13-18-02-611.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Brazil South (BRS)
HyperVEHubNs2019-08-19-13-19-48-639.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Brazil South (BRS)
azvmwareehubns2019-08-19-13-21-31-427.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Brazil South (BRS)
azvmwareehubns2019-08-19-13-23-08-509.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Brazil South (BRS)
azvmwareehubns2019-08-19-13-24-46-718.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Brazil South (BRS)
VMwareEHubNs2019-08-19-13-21-31-427.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Brazil South (BRS)
VMwareEHubNs2019-08-19-13-23-08-509.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Brazil South (BRS)
VMwareEHubNs2019-08-19-13-24-46-718.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Brazil South (BRS)
ServerEHubNs2019-10-23-10-05-29-897.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Brazil South (BRS)
ServerEHubNs2019-10-23-10-07-22-608.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Brazil South (BRS)
ServerEHubNs2019-10-23-10-09-07-294.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Brazil South (BRS)
azserverehubns2019-10-23-10-05-29-897.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Brazil South (BRS)
azserverehubns2019-10-23-10-07-22-608.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Brazil South (BRS)
azserverehubns2019-10-23-10-09-07-294.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Brazil South (BRS)
aadcdn.msftauth.net,This is required in the workflow for authentication to azure,Common to all fabrics,Canada Central (CC)
login.windows.net,This is required in the workflow for authentication to azure,Common to all fabrics,Canada Central (CC)
login.microsoftonline.com,This is required in the workflow for authentication to azure,Common to all fabrics,Canada Central (CC)
www.office.com,This is an additional check to validate the connectivity for the appliance.,Common to all fabrics,Canada Central (CC)
m365.cloud.microsoft,This is required in the workflow for authentication to azure (redirection),Common to all fabrics,Canada Central (CC)
download.microsoft.com,This is required to download the latest versions of the various componentss of the Migrate appliance.,Common to all fabrics,Canada Central (CC)
portal.azure.com,This is required for access to the Azure portal,Common to all fabrics,Canada Central (CC)
management.azure.com,This is required for managing various ARM resources in Azure.,Common to all fabrics,Canada Central (CC)
graph.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Canada Central (CC)
developer.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Canada Central (CC)
dc.services.visualstudio.com,Required for logging,Common to all fabrics,Canada Central (CC)
rt.services.visualstudio.com,Required for logging,Common to all fabrics,Canada Central (CC)
server.events.data.microsoft.com,Required for logging,Common to all fabrics,Canada Central (CC)
eu-mobile.events.data.microsoft.com,Required for logging,Common to all fabrics,Canada Central (CC)
hypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Canada Central (CC)
hypervehubns2019-03-28-05-32-57-815.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Canada Central (CC)
vmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Canada Central (CC)
serverehubns1.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Canada Central (CC)
aka.ms/latestapplianceservices/canadacentral,This URL redirects to the json mentioning the latest versions of appliance components for the region.,Common to all fabrics,Canada Central (CC)
aka.ms/latestapplianceservices,This is the fallback URL that  redirects to the json mentioning the latest versions of appliance components for all regions.,Common to all fabrics,Canada Central (CC)
discoverysrv.cc.prod.migration.windowsazure.com,Discovery service URL,Common to all fabrics,Canada Central (CC)
asmsrv.cc.prod.migration.windowsazure.com,Assessment service URL,Common to all fabrics,Canada Central (CC)
pod01-srs1.cnc.hypervrecoverymanager.windowsazure.com,Migration Service URL,Common to all fabrics,Canada Central (CC)
asmsrvprodccperfpubsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Canada Central (CC)
asmsrvprodccperfsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Canada Central (CC)
sfdiscoverysrvprodccevhubns.servicebus.windows.net,Eventhub for sending the Dependency Mapping data to Azure.,Common to all fabrics,Canada Central (CC)
discsrvprodccdepsa1.blob.core.windows.net,Storage account for sending the Dependency Mapping data to Azure.,Common to all fabrics,Canada Central (CC)
azhypervehubns2019-07-03-09-25-57-064.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Canada Central (CC)
azhypervehubns2019-07-03-09-27-47-901.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Canada Central (CC)
azhypervehubns2019-07-03-10-05-29-409.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Canada Central (CC)
HyperVEHubNs2019-07-03-09-25-57-064.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Canada Central (CC)
HyperVEHubNs2019-07-03-09-27-47-901.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Canada Central (CC)
HyperVEHubNs2019-07-03-10-05-29-409.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Canada Central (CC)
azvmwareehubns2019-07-03-10-07-10-499.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Canada Central (CC)
azvmwareehubns2019-07-03-10-08-45-842.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Canada Central (CC)
azvmwareehubns2019-07-03-10-10-28-112.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Canada Central (CC)
VMwareEHubNs2019-07-03-10-07-10-499.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Canada Central (CC)
VMwareEHubNs2019-07-03-10-08-45-842.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Canada Central (CC)
VMwareEHubNs2019-07-03-10-10-28-112.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Canada Central (CC)
ServerEHubNs2019-10-24-12-08-58-543.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Canada Central (CC)
ServerEHubNs2019-10-24-12-10-38-623.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Canada Central (CC)
ServerEHubNs2019-10-24-12-12-26-295.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Canada Central (CC)
azserverehubns2019-10-24-12-08-58-543.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Canada Central (CC)
azserverehubns2019-10-24-12-10-38-623.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Canada Central (CC)
azserverehubns2019-10-24-12-12-26-295.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Canada Central (CC)
aadcdn.msftauth.net,This is required in the workflow for authentication to azure,Common to all fabrics,Central US (CUS)
login.windows.net,This is required in the workflow for authentication to azure,Common to all fabrics,Central US (CUS)
login.microsoftonline.com,This is required in the workflow for authentication to azure,Common to all fabrics,Central US (CUS)
www.office.com,This is an additional check to validate the connectivity for the appliance.,Common to all fabrics,Central US (CUS)
m365.cloud.microsoft,This is required in the workflow for authentication to azure (redirection),Common to all fabrics,Central US (CUS)
download.microsoft.com,This is required to download the latest versions of the various componentss of the Migrate appliance.,Common to all fabrics,Central US (CUS)
portal.azure.com,This is required for access to the Azure portal,Common to all fabrics,Central US (CUS)
management.azure.com,This is required for managing various ARM resources in Azure.,Common to all fabrics,Central US (CUS)
graph.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Central US (CUS)
developer.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,Central US (CUS)
dc.services.visualstudio.com,Required for logging,Common to all fabrics,Central US (CUS)
rt.services.visualstudio.com,Required for logging,Common to all fabrics,Central US (CUS)
server.events.data.microsoft.com,Required for logging,Common to all fabrics,Central US (CUS)
eu-mobile.events.data.microsoft.com,Required for logging,Common to all fabrics,Central US (CUS)
hypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Central US (CUS)
hypervehubns2019-03-28-05-32-57-815.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Central US (CUS)
vmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Central US (CUS)
serverehubns1.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,Central US (CUS)
aka.ms/latestapplianceservices/centralus,This URL redirects to the json mentioning the latest versions of appliance components for the region.,Common to all fabrics,Central US (CUS)
aka.ms/latestapplianceservices,This is the fallback URL that  redirects to the json mentioning the latest versions of appliance components for all regions.,Common to all fabrics,Central US (CUS)
discoverysrv.cus.prod.migration.windowsazure.com,Discovery service URL,Common to all fabrics,Central US (CUS)
asmsrv.cus.prod.migration.windowsazure.com,Assessment service URL,Common to all fabrics,Central US (CUS)
pod01-srs1.cus.hypervrecoverymanager.windowsazure.com,Migration Service URL,Common to all fabrics,Central US (CUS)
asmsrvprodcusperfpubsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Central US (CUS)
asmsrvprodcusperfsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,Central US (CUS)
sfdiscoverysrvprodcusevhubns.servicebus.windows.net,Eventhub for sending the Dependency Mapping data to Azure.,Common to all fabrics,Central US (CUS)
discsrvprodcusdepsa1.blob.core.windows.net,Storage account for sending the Dependency Mapping data to Azure.,Common to all fabrics,Central US (CUS)
azhypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Central US (CUS)
azhypervehubns2018-11-22-14-32-32-124.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Central US (CUS)
azhypervehubns2018-11-22-14-34-22-505.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Central US (CUS)
HyperVEHubNs2018-11-22-14-28-46-222.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Central US (CUS)
HyperVEHubNs2018-11-22-14-32-32-124.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Central US (CUS)
HyperVEHubNs2018-11-22-14-34-22-505.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,Central US (CUS)
azvmwareehubns2018-11-22-14-36-14-154.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Central US (CUS)
azvmwareehubns2018-11-22-14-41-24-648.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Central US (CUS)
azvmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Central US (CUS)
VMwareEHubNs2018-11-22-14-36-14-154.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Central US (CUS)
VMwareEHubNs2018-11-22-14-41-24-648.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Central US (CUS)
VMwareEHubNs2018-11-22-14-42-52-696.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,Central US (CUS)
ServerEHubNs2019-10-24-12-26-55-983.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Central US (CUS)
ServerEHubNs2019-10-24-12-28-31-627.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Central US (CUS)
ServerEHubNs2019-10-24-12-30-04-125.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Central US (CUS)
azserverehubns2019-10-24-12-26-55-983.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Central US (CUS)
azserverehubns2019-10-24-12-28-31-627.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Central US (CUS)
azserverehubns2019-10-24-12-30-04-125.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,Central US (CUS)
